Stage,Semester,Class,Topic,Grade,Password,Birth Place
MiddleSchool,4,B,Biology,A,i| \|;1_;*G,Jordan
MiddleSchool,8,C,Biology,F,h8n1,Jordan
MiddleSchool,5,B,Biology,S,lm/Y]B[}5,Syria
MiddleSchool,4,C,Biology,D,C;A+:`MMmImIC$Z,Syria
MiddleSchool,6,B,Biology,A,c`!`8ag6(,Jordan
MiddleSchool,3,A,Biology,F,CI#`in6;z6jJ7/b,Jordan
MiddleSchool,3,B,Biology,D,=1KC'>ra_Dh,Jordan
MiddleSchool,5,A,Biology,D,Dc*1T4{2nbX[7y,Jordan
MiddleSchool,2,B,Biology,C,&Z+m9G^L6,Jordan
MiddleSchool,3,C,Biology,A,@u7oYggGXX,Jordan
MiddleSchool,8,B,Biology,B,TEjEQ@GpD0X,Jordan
MiddleSchool,2,B,Biology,C,F@@L%5P,Jordan
MiddleSchool,4,B,Biology,B,kb2^V!ov,Lybia
MiddleSchool,2,C,Biology,C,`j@_Z5bjWJdpL9)jV ,Lybia
MiddleSchool,4,A,Biology,F,wLY_`9|!~X$,Iraq
MiddleSchool,4,D,Biology,F,fU_AI=!(1,Iraq
MiddleSchool,6,A,Biology,F,#s_4toZl#|n,Jordan
MiddleSchool,2,D,Biology,B,?$! |I&R(#R/r|IT,Jordan
MiddleSchool,4,A,Chemistry,D,|D`>-4,Jordan
MiddleSchool,7,B,Chemistry,A,cA|I( IlKBUJ,Jordan
MiddleSchool,5,B,Geology,F,4{3{7@82E__/lKb(\&,Jordan
MiddleSchool,6,B,Geology,B,PAHq\Aj6)Ix)x,Jordan
MiddleSchool,2,B,Geology,S,z=fmbyc,Jordan
MiddleSchool,2,B,Geology,S,@_jhX&) 'bx,Jordan
MiddleSchool,7,C,Chemistry,B,0tiA7\2z^9,Jordan
MiddleSchool,2,A,Chemistry,C,<9;@F8QrG9%c84-@p,Jordan
MiddleSchool,2,C,Chemistry,S,n:hbeLJCghM|-qDS,Saudiarabia
MiddleSchool,8,C,Chemistry,B,k*IgkHh2D0YCQF5(l6y,Saudiarabia
MiddleSchool,4,D,Geology,A,^</D*WlB?2,Saudiarabia
MiddleSchool,4,B,Geology,F,AVTi^>ndisD4X,Saudiarabia
MiddleSchool,7,B,Geology,D,+@8xH 9Gd6,Saudiarabia
MiddleSchool,1,C,Geology,A,\/y3f`Y3wUAx3PC,Saudiarabia
MiddleSchool,3,C,Chemistry,D,#lH3u,Jordan
MiddleSchool,5,A,Chemistry,S,K1=/hJ-7,Jordan
MiddleSchool,5,C,Geology,F,5ZUKBBP{ //\fX,Jordan
MiddleSchool,3,C,Geology,D,eyfK1O!l'NLzO5?fi,Jordan
MiddleSchool,6,C,Chemistry,D,cvyF:R-&i7dDlJ,Jordan
MiddleSchool,5,C,Chemistry,S,!\`!pJ3'TRT,Jordan
MiddleSchool,1,D,Geology,D, s~_Po#;6'UWk'K~,Jordan
MiddleSchool,4,A,Geology,S,mJ\:,Jordan
MiddleSchool,1,D,History,A,[{:`Fzit3R~,Jordan
MiddleSchool,8,B,History,F,x|N;(%!<21+h`,Jordan
MiddleSchool,3,D,Chemistry,S,V/>e-y!,Jordan
MiddleSchool,7,B,Chemistry,F,Q_cO?,Jordan
MiddleSchool,5,C,Geology,A,V<nq?a;REp[,Jordan
MiddleSchool,1,D,Geology,B,l0HwHZ,Jordan
MiddleSchool,6,A,History,B,'BiONDYc4,Jordan
MiddleSchool,6,A,History,D,k`@em,Jordan
MiddleSchool,5,C,Chemistry,B,bqZ|6-90,Jordan
MiddleSchool,7,A,Chemistry,D,w 1a6xrKFHKBMW,Jordan
MiddleSchool,4,D,Geology,F,|TqJSG8m%/7<`0D$,Jordan
MiddleSchool,2,B,Geology,C,)L</YG{&i(M`xY>7,Jordan
MiddleSchool,4,D,History,F,w=2Z)trd- RGj,Jordan
MiddleSchool,6,B,History,A,6YGXR,Jordan
MiddleSchool,6,D,Chemistry,B,tla4b2c,Jordan
MiddleSchool,5,B,Chemistry,F,)UEuOb|%kQ'R(3YhGfw,Jordan
MiddleSchool,7,A,Chemistry,C,YmDBX4X+,Iraq
MiddleSchool,1,B,Chemistry,S,LrIXyYV,Iraq
MiddleSchool,1,C,Geology,C,jv\x-A'!cak.9-,Iraq
MiddleSchool,5,D,Geology,B,z^N0AsABi#aq):>&%:/,Iraq
MiddleSchool,8,A,History,B,icw4O]tAl2&a65D,Iraq
MiddleSchool,2,D,History,F,x`<Mrm,Iraq
MiddleSchool,2,A,Chemistry,F,`tWsiE>l~3Aj%1,Jordan
MiddleSchool,1,D,Chemistry,D,Z 'zr`#Wl(5 A,Jordan
MiddleSchool,3,D,Geology,A,*];5#997)gci,Jordan
MiddleSchool,7,A,Geology,C,xaVYD:td_Hi;Y #C1`\,Jordan
MiddleSchool,4,A,Chemistry,B,O!l~{P,Jordan
MiddleSchool,1,D,Chemistry,S,'R!KEffa,Jordan
MiddleSchool,5,A,History,S,Bm#'XSdw7}{2C7d,Jordan
MiddleSchool,7,A,History,D,l:RC$.`C=jaY8n],Jordan
MiddleSchool,1,B,Geology,C,WDWxR1$Y\k3?M`lDaTY,Palestine
MiddleSchool,6,B,Geology,B,8RDTt_,Palestine
MiddleSchool,2,D,Chemistry,D,H-0Z5,Jordan
MiddleSchool,6,B,Chemistry,F,l)Q=bRPnyLW;v,Jordan
MiddleSchool,5,D,Geology,D,{Q365|7,Jordan
MiddleSchool,4,D,Geology,C,Wcg5Ss</m9y?Nl,Jordan
MiddleSchool,4,B,History,F,52*k\^Vi%0@*LJoi,Jordan
MiddleSchool,4,B,History,C,ghh>j0&Co-h/o,Jordan
